日期,講員,主題,視頻/錄音.video,視頻/錄音
3/27/2024,歐雨虹教授,重新想像憤怒,https://vimeo.com/928159379/a17caa0c14?share=copy,
3/20/2024,佘亞弘牧師,領導學,https://vimeo.com/925606170/4d59babf20?share=copy,
3/13/2024,期中考週,週會暫停,,
3/6/2024,曾祥新牧師,"主阿, 我要能看見",https://vimeo.com/925603735/f04cdda75e?share=copy,
2/28/2024,金鉞傳道,長輩事工,https://vimeo.com/918959676/0e42ccc785?share=copy,
2/21/2024,陳祥康牧師,我要舉目 (Lift up my eyes) 詩篇121:1-2,https://vimeo.com/915368238/4568234b13?share=copy,
2/14/2024,唐秀蘭傳道,敬拜事工,https://vimeo.com/913445601/de28f669c0?share=copy,
2/7/2024,沈有方牧師,一切都是為傳福音,https://vimeo.com/911025959/538a7cc195?share=copy,
1/31/2024,雷浩、劉耀忠、韓晴璐,教會實習的經歷與收穫,https://vimeo.com/908775046/5bfd181d1b?share=copy,
1/24/2024,蔡明謀院長,開學禮拜、崇拜 (一) (聖餐),https://vimeo.com/907568974/594338630b?share=copy,